STATE_UT_NAME,DISTRICT,ANNUAL
MAHARASHTRA,RATNAGIRI,3470.6
MAHARASHTRA,THANE,2542.1
MAHARASHTRA,SINDHUDURG,3269.2
MAHARASHTRA,MUMBAI SUB,2257.5
GOA,NORTH GOA,3471.4
GOA,SOUTH GOA,3085.6
MAHARASHTRA,AHMEDNAGAR,573.2
MAHARASHTRA,DHULE,607.2
MAHARASHTRA,JALGAON,730.9
MAHARASHTRA,KOLHAPUR,1992.8
MAHARASHTRA,NASHIK,1029.6
MAHARASHTRA,PUNE,1015.7
MAHARASHTRA,SANGLI,730.6
MAHARASHTRA,SATARA,912.5
MAHARASHTRA,SOLAPUR,646.5
MAHARASHTRA,NANDURBAR,890.7
MAHARASHTRA,AURANGABAD,716.2
MAHARASHTRA,BEED,708.4
MAHARASHTRA,NANDED,961.1
MAHARASHTRA,OSMANABAD,779.3
MAHARASHTRA,PARBHANI,897.0
MAHARASHTRA,LATUR,910.0
MAHARASHTRA,JALNA,729.7
MAHARASHTRA,HINGOLI,979.4
MAHARASHTRA,AKOLA,815.4
MAHARASHTRA,AMRAVATI,897.4
MAHARASHTRA,BHANDARA,1292.7
MAHARASHTRA,BULDHANA,746.9
MAHARASHTRA,CHANDRAPUR,1272.0
MAHARASHTRA,NAGPUR,1068.4
MAHARASHTRA,YAVATMAL,982.8
MAHARASHTRA,WARDHA,1027.0
MAHARASHTRA,GADCHIROLI,1449.8
MAHARASHTRA,WASHIM,940.9
MAHARASHTRA,GONDIA,1370.7
CHATISGARH,BASTAR,1362.6
CHATISGARH,BILASPUR,1229.0
CHATISGARH,DURG,1122.9
CHATISGARH,RAIGARH,1269.9
CHATISGARH,RAIPUR,1164.6
CHATISGARH,SURGUJA,1331.9
CHATISGARH,RAJNANDGAON,1209.3
CHATISGARH,DANTEWADA,1327.9
CHATISGARH,KANKER (NORH,1395.2
CHATISGARH,JANJGIR-CHAMP,1315.8
CHATISGARH,KORBA,1385.5
CHATISGARH,JASHPUR,1544.4
CHATISGARH,DHAMTARI,1168.6
CHATISGARH,MAHASAMUND,1141.3
CHATISGARH,KORIYA,1223.4
CHATISGARH,KOWARDHA (KAB,1029.3
CHATISGARH,NARAYANPUR,1404.5
CHATISGARH,BIJAPUR,1528.2
ANDHRA PRADESH,EAST GODAVARI,1106.0
ANDHRA PRADESH,WEST GODAVARI,1160.4
ANDHRA PRADESH,GUNTUR,871.5
ANDHRA PRADESH,KRISHNA,1027.1
ANDHRA PRADESH,NELLORE,1091.6
ANDHRA PRADESH,PRAKASAM,805.9
ANDHRA PRADESH,SRIKAKULAM,1165.2
ANDHRA PRADESH,VISAKHAPATNAM,1120.7
ANDHRA PRADESH,VIZIANAGARAM,1140.4
ANDHRA PRADESH,ADILABAD,1120.0
ANDHRA PRADESH,HYDERABAD,851.3
ANDHRA PRADESH,KARIMNAGAR,979.8
ANDHRA PRADESH,KHAMMAM,1094.9
ANDHRA PRADESH,MAHABUBNAGAR,731.1
ANDHRA PRADESH,MEDAK,922.3
ANDHRA PRADESH,NALGONDA,760.5
ANDHRA PRADESH,NIZAMABAD,1091.9
ANDHRA PRADESH,WARANGAL,986.9
ANDHRA PRADESH,RANGAREDDY,841.8
ANDHRA PRADESH,ANANTPUR,572.7
ANDHRA PRADESH,CHITTOOR,898.2
ANDHRA PRADESH,KUDDAPAH,716.9
ANDHRA PRADESH,KURNOOL,679.6
TAMIL NADU,VELLORE,936.2
TAMIL NADU,COIMBATORE,689.3
TAMIL NADU,DHARMAPURI,902.1
TAMIL NADU,KANYAKUMARI,1302.5
TAMIL NADU,CHENNAI,1324.2
TAMIL NADU,MADURAI,927.9
TAMIL NADU,NILGIRIS,1522.7
TAMIL NADU,RAMANATHAPURA,807.8
TAMIL NADU,SALEM,997.9
TAMIL NADU,THANJAVUR,1013.1
TAMIL NADU,TIRUCHIRAPPAL,818.0
TAMIL NADU,TIRUNELVELI,845.1
TAMIL NADU,ERODE,702.9
TAMIL NADU,PUDUKKOTTAI,887.4
TAMIL NADU,DINDIGUL,930.7
TAMIL NADU,VIRUDHUNAGAR,820.1
TAMIL NADU,SIVAGANGA,872.8
TAMIL NADU,THOOTHUKUDI,656.3
TAMIL NADU,TIRUVANNAMALA,1040.0
TAMIL NADU,NAGAPATTINAM,1393.3
TAMIL NADU,VILUPPURAM,1011.6
TAMIL NADU,CUDDALORE,1206.7
TAMIL NADU,KANCHIPURAM,1227.7
TAMIL NADU,TIRUVALLUR,1139.6
TAMIL NADU,THENI,720.0
TAMIL NADU,NAMAKKAL,793.4
TAMIL NADU,KARUR,655.0
TAMIL NADU,PERAMBALUR,861.9
TAMIL NADU,TIRUVARUR,1173.3
TAMIL NADU,KRISHNAGIRI,850.7
TAMIL NADU,ARIYALUR,1071.8
TAMIL NADU,TIRUPUR,618.2
PONDICHERRY,PONDICHERRY,1336.5
PONDICHERRY,KARAIKAL,1504.4
PONDICHERRY,MAHE,1336.5
PONDICHERRY,YANAM,1336.5
KARNATAKA,UTTAR KANNADA,3070.5
KARNATAKA,DAKSHIN KANDA,3915.8
KARNATAKA,UDUPI,4306.0
KARNATAKA,BELGAM,839.2
KARNATAKA,BIDAR,890.7
KARNATAKA,BIJAPUR,656.4
KARNATAKA,DHARWAD,791.7
KARNATAKA,GULBARGA,820.6
KARNATAKA,YADGIR,834.5
KARNATAKA,RAICHUR,665.1
KARNATAKA,BAGALKOTE,597.0
KARNATAKA,GADAG,641.2
KARNATAKA,HAVERI,791.9
KARNATAKA,KOPPAL,598.3
KARNATAKA,BANGALORE RUR,837.0
KARNATAKA,BELLARY,622.8
KARNATAKA,CHIKMAGALUR,2077.5
KARNATAKA,CHITRADURGA,527.7
KARNATAKA,KODAGU,2741.4
KARNATAKA,HASSAN,967.1
KARNATAKA,KOLAR,731.1
KARNATAKA,MANDYA,662.7
KARNATAKA,MYSORE,758.6
KARNATAKA,SHIMOGA,1827.9
KARNATAKA,TUMKUR,698.5
KARNATAKA,BANGALORE URB,870.0
KARNATAKA,CHAMARAJANAGA,788.4
KARNATAKA,DAVANGERE,676.7
KARNATAKA,RAMNAGAR(BNGR),883.7
KARNATAKA,CHICKBALLAPUR,748.5
KERALA,ALAPPUZHA,2841.2
KERALA,CANNUR,3319.1
KERALA,ERNAKULAM,3029.9
KERALA,KOTTAYAM,2930.5
KERALA,KOZHIKODE,3384.1
KERALA,MALAPPURAM,2835.1
KERALA,PALAKKAD,2290.0
KERALA,KOLLAM,2491.7
KERALA,THRISSUR,3063.1
KERALA,THIRUVANANTHA,1803.2
KERALA,IDUKKI,3302.5
KERALA,KASARGOD,3621.6
KERALA,PATHANAMTHITTA,2958.4
KERALA,WAYANAD,3253.1
LAKSHADWEEP,LAKSHADWEEP,1600.0
